87,125
87,175
87,225
87,275
87,325
87,375
87,425
87,475
87,525
87,575
87,625
87,675
137,125
187,125
237,125
337,125
387,125
437,125
437,175
437,225
437,275
387,675
337,675
287,675
237,675
187,675
137,675
287,625
287,575
287,525
287,475
287,425
287,375
237,375
187,375
137,375
187,425
187,475
187,525
187,575
137,575
137,275
187,275
237,275
287,275
337,275
387,275
237,225
237,175
237,325
587,125
637,125
687,125
737,125
787,125
837,125
887,125
937,125
937,175
937,225
937,275
937,325
937,375
937,425
937,475
937,525
937,625
937,675
887,675
837,675
787,675
737,675
687,675
637,675
587,675
537,675
437,675
587,275
587,225
587,175
637,275
687,275
737,275
787,275
837,275
887,275
787,225
787,175
537,275
487,275
787,325
787,375
737,375
837,375
887,375
837,425
837,475
837,525
837,575
887,575
737,575
737,625
737,525
737,475
737,425
537,475
537,425
487,425
487,375
437,325
437,375
587,375
587,325
587,575
637,575
537,575
487,575
437,575
387,575
387,625
637,625
