37,75
37,125
37,175
37,225
37,275
37,325
37,375
37,425
37,475
37,525
37,575
37,625
37,675
37,725
87,725
137,725
187,725
237,725
287,725
337,725
387,725
437,725
487,725
537,725
587,725
637,725
687,725
737,725
787,725
837,725
887,725
937,725
987,725
87,75
137,75
187,75
237,75
287,75
337,75
387,75
437,75
487,75
537,75
587,75
637,75
687,75
737,75
787,75
837,75
887,75
937,75
987,75
987,125
987,175
987,225
987,275
987,325
987,375
987,425
987,475
987,525
987,575
987,625
987,675
987,725
137,175
187,175
137,225
187,225
137,325
187,325
837,175
887,175
837,225
887,225
487,125
537,125
487,175
537,175
487,225
537,225
287,175
337,175
387,175
287,225
337,225
387,225
837,325
887,325
637,175
687,175
737,175
637,225
687,225
737,225
437,425
587,425
437,475
437,525
587,475
587,525
487,525
537,525
287,325
337,325
387,325
337,375
637,325
687,325
737,325
687,375
487,325
537,325
437,625
487,625
537,625
587,625
137,625
187,625
237,625
237,575
237,525
237,475
237,425
137,525
137,475
137,425
337,425
337,525
337,575
337,625
887,625
837,625
787,625
787,575
787,525
787,475
787,425
687,425
687,525
687,575
687,625
887,425
887,475
887,525
